id,time,x,y,z,z_smo,y_smo,t1,tVal,bin,windowSize,run_id,smo_prob,bin_hmm,run_idle_id,numbers,recipe_step
131,630.675S,2.47,0.96,0.43,0.4332100801600563,0.9598355679601213,1970-01-01T00:00:00Z,-20,0,,1,3.0891198876512217e-4,idle,1,1085,idle 0
132,630.679S,2.47,0.96,0.43,0.4332096683199308,0.9598359021076729,1970-01-01T00:00:00Z,-20,0,,1,3.089037951783382e-4,idle,1,1085,idle 0
133,630.683S,2.47,0.96,0.43,0.4332092697877527,0.9598362367970259,1970-01-01T00:00:00Z,-20,0,,1,3.088960534736657e-4,idle,1,1085,idle 0
134,630.686S,2.47,0.96,0.43,0.4332089796401933,0.9598364881787835,1970-01-01T00:00:00Z,-20,0,,1,3.088897592740716e-4,idle,1,1085,idle 0
135,630.69S,2.47,0.96,0.43,0.43320860446985743,0.9598368238530313,1970-01-01T00:00:00Z,-20,0,,1,3.088827688356033e-4,idle,1,1085,idle 0
136,630.694S,2.47,0.96,0.43,0.43320824269082225,0.959837160111071,1970-01-01T00:00:00Z,-20,0,,1,3.088773090114436e-4,idle,1,1085,idle 0
137,630.699S,2.47,0.96,0.43,0.43320780934472075,0.9598375812778401,1970-01-01T00:00:00Z,-20,0,,1,3.088811051752583e-4,idle,1,1085,idle 0
138,630.703S,2.47,0.96,0.43,0.4332074778069341,0.9598379189052403,1970-01-01T00:00:00Z,-20,0,,1,3.089484381133946e-4,idle,1,1085,idle 0
139,630.707S,2.47,0.96,0.43,0.4332071597589566,0.9598382571660576,1970-01-01T00:00:00Z,-20,0,,1,3.094015368832951e-4,idle,1,1085,idle 0
140,630.71S,2.47,0.96,0.43,0.43320693009389416,0.9598385112865361,1970-01-01T00:00:00Z,-20,0,,1,3.122422006963208e-4,idle,1,1085,idle 0
141,630.714S,2.47,0.96,0.43,0.43320663572601675,0.9598388506925754,1970-01-01T00:00:00Z,-20,0,,1,3.298670812690631e-4,idle,1,1085,idle 0
142,630.718S,2.47,0.96,0.43,0.4332063549313015,0.959839190774022,1970-01-01T00:00:00Z,-20,0,,1,4.3909414855632816e-4,idle,1,1085,idle 0
143,630.722S,2.47,0.96,0.45,0.4332060877400589,0.9598395315461457,1970-01-01T00:00:00Z,-20,0,,1,0.0011158633668885553,idle,1,1085,idle 0
144,630.726S,2.47,0.96,0.45,0.4332058341825992,0.9598398730242154,1970-01-01T00:00:00Z,-20,0,,1,0.0012948143840428583,idle,1,1085,idle 0
145,630.729S,2.47,0.96,0.45,0.433205652979908,0.9598401296052304,1970-01-01T00:00:00Z,-20,0,,1,0.0011159146768568802,idle,1,1085,idle 0
146,630.733S,2.47,0.96,0.43,0.43320542335450246,0.9598404723554476,1970-01-01T00:00:00Z,-20,0,,1,4.3907896519734563e-4,idle,1,1085,idle 0
147,630.737S,2.47,0.96,0.43,0.433205207446233,0.9598408158536014,1970-01-01T00:00:00Z,-20,0,,1,3.298375686322516e-4,idle,1,1085,idle 0
148,630.742S,2.47,0.96,0.43,0.4332049568967947,0.9598412463013412,1970-01-01T00:00:00Z,-20,0,,1,3.1220306046265755e-4,idle,1,1085,idle 0
149,630.746S,2.47,0.96,0.43,0.4332047719629035,0.9598415915381807,1970-01-01T00:00:00Z,-20,0,,1,3.0935593544197094e-4,idle,1,1085,idle 0
150,630.75S,2.47,0.96,0.43,0.4332046008446568,0.9598419375725817,1970-01-01T00:00:00Z,-20,0,,1,3.08905909945043e-4,idle,1,1085,idle 0
151,630.753S,2.47,0.96,0.43,0.433204481590722,0.9598421976309678,1970-01-01T00:00:00Z,-20,0,,1,3.0890686228241465e-4,idle,1,1085,idle 0
152,630.757S,2.47,0.95,0.43,0.4332043347227873,0.9598425450978435,1970-01-01T00:00:00Z,-20,0,,1,3.0937332337841464e-4,idle,1,1085,idle 0
153,630.761S,2.47,0.96,0.43,0.4332042017538504,0.9598428934042713,1970-01-01T00:00:00Z,-20,0,,1,3.1235076726527484e-4,idle,1,1085,idle 0
154,630.765S,2.47,0.96,0.43,0.43320408271422145,0.9598432425655206,1970-01-01T00:00:00Z,-20,0,,1,3.3082565076003405e-4,idle,1,1085,idle 0
155,630.769S,2.47,0.96,0.43,0.43320397763421076,0.9598435925968604,1970-01-01T00:00:00Z,-20,0,,1,4.4531743578096305e-4,idle,1,1085,idle 0
156,630.772S,2.47,0.96,0.45,0.4332039080034358,0.9598438557005479,1970-01-01T00:00:00Z,-20,0,,1,0.0011547663322789884,idle,1,1085,idle 0
157,630.776S,2.47,0.96,0.45,0.4332038274256913,0.9598442072912879,1970-01-01T00:00:00Z,-20,0,,1,0.0014097860398644354,idle,1,1085,idle 0
158,630.78S,2.47,0.96,0.45,0.4332037608909183,0.9598445597941091,1970-01-01T00:00:00Z,-20,0,,1,0.0014098020310640438,idle,1,1085,idle 0
159,630.785S,2.47,0.96,0.45,0.4332036975165565,0.9598450017285116,1970-01-01T00:00:00Z,-18.38137263649296,0,,1,0.0011547986241158827,idle,1,1085,idle 0
160,630.789S,2.47,0.96,0.43,0.4332036626892915,0.9598453563393436,1970-01-01T00:00:00Z,-13.49766788973733,0,,1,4.4531479387705127e-4,idle,1,1085,idle 0
161,630.793S,2.47,0.96,0.43,0.4332036420035063,0.9598457119118818,1970-01-01T00:00:00Z,-10.507509895639437,0,,1,3.3081689960179524e-4,idle,1,1085,idle 0
162,630.796S,2.47,0.96,0.43,0.43320363578774707,0.9598459792315907,1970-01-01T00:00:00Z,-7.546074983756177,0,,1,3.12339002270678e-4,idle,1,1085,idle 0
163,630.8S,2.47,0.96,0.43,0.4332036399224859,0.9598463365238563,1970-01-01T00:00:00Z,-4.835825043608036,0,,1,3.0935712942203576e-4,idle,1,1085,idle 0
164,630.804S,2.47,0.96,0.43,0.4332036582820578,0.9598466948198187,1970-01-01T00:00:00Z,2.6788519693344637,0,,2,3.088762630639472e-4,idle,1,1085,idle 0
165,630.808S,2.47,0.96,0.43,0.4332036908967732,0.9598470541347469,1970-01-01T00:00:00Z,5.237000453922851,0,,2,3.0879924606650496e-4,idle,1,1085,idle 0
166,630.812S,2.47,0.96,0.43,0.43320373779694227,0.9598474144839103,1970-01-01T00:00:00Z,10.65961283023624,0,,2,3.0878760987707537e-4,idle,1,1085,idle 0
167,630.815S,2.47,0.96,0.43,0.4332037824795021,0.959847685349029,1970-01-01T00:00:00Z,12.158210077374868,0,,2,3.087865646524835e-4,idle,1,1085,idle 0
168,630.819S,2.47,0.96,0.43,0.43320385491119345,0.9598480471455735,1970-01-01T00:00:00Z,11.374794847655116,0,,2,3.0878766752417513e-4,idle,1,1085,idle 0
